Player Name,REC,YDS,TDS,ATT,YDS,TDS,FL,fpts
Auden Tate CIN,4.8,60.8,0.1,0,0,0,0,6.9
Hunter Sharp CIN,3.9,51.6,0.3,0,0,0,0,6.8
Victor Bolden Jr. BUF,4.2,57.8,0.2,0,0,0,0,6.7
Cam Phillips BUF,3.9,55,0.2,0,0,0,0,6.6
Dwayne Harris OAK,4.7,54.1,0,1.3,7.7,0,0,6.6
Johnny Holton PIT,4.2,50.9,0.2,0,0,0,0,6.4
Allen Lazard GB,4.9,48.9,0.2,0,0,0,0,6.3
Mike Thomas LAR,3.1,37.9,0.4,0,0,0,0,5.9
Devin Smith DAL,3.1,36.8,0.4,0,0,0,0,5.8
Cedrick Wilson DAL,3.1,36.8,0.4,0,0,0,0,5.8
Dontrelle Inman NE,2.6,39.7,0.3,0,0,0,0,5.8
Charles Johnson PHI,3.2,36.9,0.3,0,0,0,0,5.7
Brandon Powell DET,5,46.2,0.2,0.1,0.2,0,0,5.6
DeAndrew White CAR,2.6,31.9,0.4,0,0,0,0,5.5
Isaiah Ford MIA,3.3,43.7,0.2,0,0,0,0,5.4
JoJo Natson LAR,1.8,43,0.2,0.1,0,0,0,5.2
Greg Dortch NYJ,3,38.6,0.2,0,0,0,0,5.2
Gehrig Dieter KC,3.1,36.2,0.3,0,0,0,0,5.2
Olabisi Johnson MIN,3.2,39.1,0.2,0,0,0,0,5.2
Tim White NYJ,2.7,34.5,0.3,0,0,0,0,5.1
Brittan Golden NYG,2.6,35.1,0.3,0,0,0,0,5
Cam Sims WAS,3.3,40,0.2,0,0,0,0,5
Terrelle Pryor JAC,2.8,37.9,0.2,0,0,0,0,4.9
J'Mon Moore GB,4.4,45.4,0.1,0,0,0,0,4.9
Chad Hansen HOU,2.4,32.3,0.3,0,0,0,0,4.8
Javon Wims CHI,2.5,35.7,0.2,0,0,0,0,4.8
Jaleel Scott BAL,2.6,32.9,0.2,0,0,0,0,4.1
Deonte Thompson NYJ,2.6,31.2,0.2,0.1,-0.1,0,0,4.1
J.J. Jones NYJ,2.3,31.5,0.1,0.2,0.9,0,0,4.1
Charone Peake NYJ,1.9,30.6,0.1,0,0,0,0,3.8
Nick Williams DEN,2.2,29.7,0.1,0,0,0,0,3.7
Chad Williams ARI,2.1,26.5,0.2,0.1,0.2,0,0,3.6
Isaac Whitney HOU,2.1,25.5,0.2,0,0,0,0,3.5
Michael Floyd BAL,2.2,26.5,0.1,0,0,0,0,3.5
Trent Sherfield ARI,1.9,23.5,0.2,0,0,0,0,3.4
Andre Roberts BUF,2.6,27,0.1,0,0.6,0,0,3.3
Khadarel Hodge LAR,2.1,23.6,0.1,0,0,0,0,3
Byron Pringle KC,1.7,21.2,0.2,0,0,0,0,3
Marcus Green ATL,1.7,21.6,0.1,0,0,0,0,3
Krishawn Hogan IND,1.8,15.8,0.2,0,0,0,0,2.8
Marcus Johnson IND,1.5,19.9,0.1,0,0.3,0,0,2.8
Damiere Byrd ARI,2.8,27.4,0,0.1,0.2,0,0,2.8
Juwann Winfree DEN,1.7,20.2,0.1,0,0,0,0,2.5
Pharoh Cooper ARI,2.7,24.2,0,0.1,0.1,0,0,2.4
Keenan Reynolds SEA,1.4,17.2,0.1,0,0,0,0,2.4
Matt Slater NE,0.7,8.4,0,0,0,0,0,1.1
Daurice Fountain IND,0,0,0,0,0,0,0,0
Cam Batson TEN,0,0,0,0,0,0,0,0
Ashton Dulin IND,0,0,0,0,0,0,0,0
Austin Proehl LAR,0,0,0,0,0,0,0,0
Jaydon Mickens CAR,0,0,0,0,0,0,0,0
Chris Thompson WAS,0,0,0,0,0,0,0,0
Tyre Brady JAC,0,0,0,0,0,0,0,0
Jester Weah HOU,0,0,0,0,0,0,0,0
Brendan Langley DEN,0,0,0,0,0,0,0,0
Kelvin McKnight DEN,0,0,0,0,0,0,0,0
Emanuel Hall TB,0,0,0,0,0,0,0,0
DeAngelo Yancey TEN,0,0,0,0,0,0,0,0
Malachi Dupre LAC,0,0,0,0,0,0,0,0
Emmanuel Butler NO,0,0,0,0,0,0,0,0
John Ursua SEA,0,0,0,0,0,0,0,0
Joe Webb HOU,0,0,0,0,0,0,0,0
Da'Mari Scott NYG,0,0,0,0,0,0,0,0
Robert Davis WAS,0,0,0,0,0,0,0,0
Lil'Jordan Humphrey NO,0,0,0,0,0,0,0,0
Dillon Mitchell MIN,0,0,0,0,0,0,0,0
Tre McBride JAC,0,0,0,0,0,0,0,0
Braxton Berrios NE,0,0,0,0,0,0,0,0
Antoine Wesley BAL,0,0,0,0,0,0,0,0
Marken Michel PHI,0,0,0,0,0,0,0,0
Roger Lewis IND,0,0,0,0,0,0,0,0
Carlton Agudosi PHI,0,0,0,0,0,0,0,0
Penny Hart IND,0,0,0,0,0,0,0,0
Alonzo Russell NYG,0,0,0,0,0,0,0,0
Taquan Mizzell CHI,0,0,0,0,0,0,0,0
Tanner McEvoy TEN,0,0,0,0,0,0,0,0
Simmie Cobbs Jr. NO,0,0,0,0,0,0,0,0
