Player Name,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,fpts
Jakob Johnson,NE,0,0,0,2.2,19,0.1,0,2.2
Dare Ogunbowale,JAC,2.1,8.9,0,1.4,9.4,0,0,1.8
Jonathan Williams,WAS,2.3,9.8,0,0.9,7,0,0,1.7
Patrick Laird,MIA,1.5,6.4,0,0.9,5.5,0,0,1.2
Taiwan Jones,BUF,1.1,4.7,0,0.9,7,0,0,1.2
Elijah McGuire,KC,0.9,3.5,0,0.9,7.2,0,0,1.1
C.J. Prosise,TB,0.9,3.6,0,1,7,0,0,1.1
Ryan Nall,CHI,0.9,3.9,0,0.9,6.3,0,0,1
Artavis Pierce,CHI,0.9,3.9,0,0.9,6.2,0,0,1
Adrian Killins Jr.,PHI,0.9,3.9,0,0.9,6.1,0,0,1
Jason Huntley,PHI,0.9,3.9,0,0.9,6.1,0,0,1
Austin Walter,NYJ,0.9,3.6,0,0.9,6.3,0,0,1
LeVante Bellamy,DEN,1,4.4,0,0.9,5.5,0,0,1
Nathan Cottrell,JAC,0.9,3.6,0,0.9,6.2,0,0,1
Damarea Crockett,DEN,1,4.2,0,0.9,5.5,0,0,1
Scottie Phillips,HOU,0.8,3.5,0,0.9,6.1,0,0,1
Jason Cabinda,DET,0.8,3.5,0,1,6.1,0,0,1
Jordan Scarlett,MIA,0.9,3.9,0,0.9,5.3,0,0,0.9
Taquan Mizzell,NYG,0.9,3.7,0,0.9,5.4,0,0,0.9
Cullen Gillaspia,NYG,0.9,3.7,0,0.9,5.2,0,0,0.9
Tony Jones Jr.,NO,0.9,0.7,0,0.2,0.4,0,0,0.1
