"Player Name","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","fpts"
"Braxton Berrios","MIA","18.2","237.7","0.9","2.3","32.2","0.5","0.3","34.2"
"Olamide Zaccheaus","PHI","21.8","269.6","1.2","0.8","2.8","0.0","0.4","33.9"
"Justyn Ross","KC","0.0","321.4","0.1","1.3","8.0","0.1","0.2","33.7"
"Tank Dell","HOU","16.4","285.1","0.7","0.8","4.8","0.1","0.2","32.8"
"Noah Brown","HOU","23.8","259.4","1.0","0.1","0.5","0.0","0.1","31.9"
"Marquise Goodwin","CLE","15.8","213.3","1.4","1.2","6.1","0.0","0.0","30.6"
"Robbie Chosen","MIA","0.0","291.2","0.2","0.8","5.6","0.0","0.2","30.5"
"Kalif Raymond","DET","17.0","207.3","1.1","0.8","19.4","0.2","0.1","30.1"
"Jauan Jennings","SF","19.9","238.4","1.0","0.0","0.2","0.0","0.0","30.0"
"Devin Duvernay","BAL","12.4","207.4","0.6","3.3","40.8","0.2","0.0","29.7"
"Charlie Jones","CIN","18.4","231.1","1.1","0.9","7.1","0.0","0.7","29.3"
"Xavier Hutchinson","HOU","0.0","274.4","0.1","1.1","6.8","0.1","0.2","28.9"
"Michael Wilson","ARI","15.1","239.4","0.6","1.2","10.1","0.1","0.1","28.7"
"Terrell Bynum","LAC","16.2","198.3","1.2","0.0","10.6","0.0","0.0","28.5"
"Samori Toure","GB","19.6","213.8","1.1","0.4","3.4","0.0","0.1","28.1"
"Chris Moore","TEN","20.4","221.5","0.9","0.3","3.7","0.0","0.0","27.9"
"Cedrick Wilson Jr.","MIA","18.4","196.8","0.9","0.4","0.8","0.0","0.0","25.4"
"Jalen Guyton","LAC","15.1","193.3","0.8","1.2","5.7","0.0","0.0","24.9"
"Randall Cobb","NYJ","17.7","187.7","1.0","0.1","0.5","0.0","0.1","24.7"
"KJ Hamler","DEN","4.8","206.7","0.3","2.1","17.9","0.0","0.0","24.5"
"David Bell","CLE","12.7","211.2","0.4","0.0","0.3","0.0","0.0","23.8"
"Justin Watson","KC","13.9","180.8","0.9","0.0","0.3","0.0","0.0","23.6"
"Cade Johnson","SEA","14.6","164.6","1.1","0.0","2.4","0.0","0.0","23.2"
"Kyle Philips","TEN","11.7","193.5","0.5","1.0","5.1","0.0","0.2","23.0"
"Demarcus Robinson","LAR","21.9","184.7","0.8","0.0","0.0","0.0","0.1","22.9"
"A.T. Perry","NO","0.0","226.0","0.0","0.9","5.6","0.0","0.2","22.8"
"Trent Sherfield","BUF","12.7","181.6","0.7","0.0","0.4","0.0","0.0","22.6"
"Tyler Scott","CHI","0.0","213.7","0.0","0.9","5.3","0.0","0.1","21.7"
