"Player Name","Team","rushing_attempts","rushing_yards","rushing_td","receptions","receiving_yards","receiving_td","fumble_lost","fpts"
"Mike Boone","HOU","15.6","63.2","0.1","3.9","26.7","0.1","0.0","10.0"
"Trey Sermon","PHI","17.5","58.8","0.1","3.9","29.6","0.1","0.1","9.7"
"Trestan Ebner","CHI","17.7","59.9","0.1","2.9","26.6","0.1","0.1","9.5"
"La'Mical Perine","KC","4.2","17.6","0.2","5.0","35.8","0.3","0.0","8.4"
"Alec Ingold","MIA","4.3","11.3","0.1","6.6","47.6","0.3","0.0","8.3"
"Jermar Jefferson","DET","4.6","19.4","0.2","4.4","34.3","0.3","0.0","8.3"
"Julius Chestnut","TEN","13.1","43.0","0.1","3.7","25.4","0.1","0.1","7.7"
"Jonathan Ward","TEN","10.1","42.9","0.2","1.9","14.0","0.1","0.0","7.5"
"Qadree Ollison","JAC","4.5","18.7","0.2","4.5","31.9","0.2","0.0","7.1"
"Nate McCrary","CLE","5.4","22.6","0.2","3.8","28.1","0.2","0.0","7.1"
"Jason Huntley","PIT","4.9","20.7","0.2","4.0","29.0","0.2","0.0","7.0"
"Giovanni Ricci","CAR","4.6","19.6","0.2","4.1","29.9","0.2","0.0","7.0"
"Patrick Laird","TB","4.4","18.2","0.2","4.1","30.5","0.2","0.0","6.9"
"Jason Cabinda","DET","4.6","12.5","0.1","4.4","33.2","0.3","0.0","6.9"
"Spencer Brown","CAR","4.6","19.7","0.2","4.1","28.5","0.2","0.0","6.9"
"Jake Funk","IND","5.5","32.5","0.2","2.3","17.2","0.1","0.0","6.7"
"Larry Rountree III","LAC","4.3","17.6","0.0","4.8","36.3","0.2","0.0","6.6"
"Gerrid Doaks","HOU","4.7","19.8","0.1","4.0","27.6","0.2","0.0","6.3"
"Patrick Ricard","BAL","6.4","15.5","0.0","7.0","40.0","0.3","0.6","6.2"
"Ronnie Rivers","LAR","4.6","21.3","0.1","3.3","21.3","0.2","0.0","5.8"
"Jaret Patterson","WAS","5.0","22.9","0.2","2.4","16.2","0.1","0.0","5.6"
"Michael Burton","DEN","4.7","12.1","0.1","3.4","19.0","0.2","0.0","5.0"
"Henry Pearson","GB","0.0","13.0","0.1","4.0","17.4","0.2","0.0","5.0"
"Adam Prentice","NO","0.0","11.3","0.1","4.0","19.7","0.2","0.0","5.0"
"Avery Williams","ATL","7.6","18.8","0.1","3.5","13.7","0.1","0.0","4.3"
"John Kelly Jr.","CLE","5.4","14.4","0.1","2.2","16.1","0.1","0.0","4.2"
"Khari Blasingame","CHI","5.8","13.8","0.1","2.6","12.1","0.1","0.0","4.0"
"Jack Colletto","SF","0.0","7.5","0.1","3.8","17.0","0.2","0.0","4.0"
"Clint Ratkovich","ATL","0.0","7.9","0.1","3.8","16.3","0.2","0.0","4.0"
"Keith Smith","ATL","5.4","12.2","0.1","2.8","11.5","0.1","0.0","3.8"
"Jakob Johnson","LV","0.0","2.0","0.0","4.5","16.0","0.2","0.0","2.9"
"Hunter Luepke","DAL","0.0","6.0","0.1","1.0","4.5","0.1","0.0","1.7"
"Zach Ojile","MIN","0.0","0.8","0.0","0.4","1.9","0.0","0.0","0.4"
"Nick Bellore","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
